"id_contrato","ds_tipo","ds_versao","dt_criacao","nm_nome_arquivo","op_type","dt_process_stage","partition_ano_mes"
8,2,v4,2022-12-27 17:09:04.000,service_level-v4,I,2023-10-25 12:25:45.000,"197001"
3,1,v2,2022-09-22 11:55:42.000,license-v2,I,2023-10-25 12:25:45.000,"197001"
10,2,v5,2023-01-02 15:13:09.000,service_level-v5,I,2023-10-25 12:25:45.000,"197001"
9,3,v1,2023-01-02 15:11:39.000,membership_term-v1,I,2023-10-25 12:25:45.000,"197001"
5,1,v3,2022-10-19 16:58:10.000,license-v3,I,2023-10-25 12:25:45.000,"197001"
4,2,v2,2022-09-22 11:56:11.000,service_level-v2,I,2023-10-25 12:25:45.000,"197001"
6,1,v4,2022-10-26 11:50:02.000,license-v4,I,2023-10-25 12:25:45.000,"197001"
11,1,v5,2023-01-02 15:13:34.000,license-v5,I,2023-10-25 12:25:45.000,"197001"
7,2,v3,2022-10-26 11:50:19.000,service_level-v3,I,2023-10-25 12:25:45.000,"197001"
